timestamp,Cores,RealAllocatedCores,SystemRealUtilization,SystemUtilization,AllocatedCores,ExceededCores,Decision,CooldownUp,CooldownDown
1652012640,189.25256810534037,448,42.24387680922776,27.34863700944225,692,0,0,3,0
1652012700,192.23783736395606,448,42.91023155445448,26.119271380972293,736,0,0,4,0
1652012760,210.86945449953907,448,47.06907466507569,28.650741100480854,736,0,0,3,0
1652012820,200.07694914418093,448,44.660033291111816,27.18436809024197,736,0,0,2,0
1652012880,196.5866702483257,448,43.88095318042984,26.710145414174686,736,0,0,1,0
1652012940,170.79690315727484,432,39.5363201752951,23.206100972455822,736,0,-356,0,0
1652013000,186.70830075851646,448,41.67595999074028,49.13376335750433,380,0,36,0,0
1652013060,216.54053333333331,448,48.334940476190475,56.98435087719298,380,0,104,0,0
1652013120,229.4974632111687,448,51.22711232392159,60.39406926609703,380,0,132,0,0
1652013180,208.6189207064562,448,46.566723371976835,54.89971597538321,380,0,84,0,0
1652013240,223.92267280454675,448,49.98273946530061,58.92701915909125,380,0,120,0,0
1652013300,216.95893333333333,448,48.428333333333335,57.09445614035088,380,0,104,0,0
1652013360,219.6921393843436,448,49.03842396971955,57.813720890616736,380,0,112,0,0
1652013420,218.5552019508051,448,48.784643292590424,57.51452682915924,380,0,108,0,0
1652013480,225.1754755688258,448,50.262382939470044,59.25670409705942,380,0,124,0,0
1652013540,215.61105965543868,448,48.12746867308899,56.73975254090492,380,0,100,0,0
1652013600,224.66746320450216,448,50.14898732243351,54.006601731851475,416,0,0,4,0
1652013660,225.0945257223415,448,50.24431377730837,54.10926099094747,416,0,0,3,0
1652013720,223.60919327778197,448,49.91276635664776,53.75220992254375,416,0,0,2,0
1652013780,206.92625911765197,448,46.188897124475886,37.76026626234525,548,0,0,4,0
1652013840,217.2046711932579,448,48.48318553420935,39.63588890387918,548,0,0,3,0
1652013900,207.1465423354055,448,46.23806748558159,37.80046392981852,548,0,0,2,0
1652013960,218.22119670434202,448,48.71008855007634,32.66784381801527,668,0,0,4,0
1652014020,215.17172925319423,448,48.02940385115942,27.87198565455884,772,0,0,4,0
1652014080,198.0445041274645,448,44.2063625284519,22.505057287211876,880,0,0,4,0
1652014140,194.2299160741926,448,43.35489198084656,19.345609170736314,1004,0,0,4,0
1652014200,216.00331842864048,448,48.21502643496439,19.56551797360874,1104,0,0,4,0
1652014260,201.53244021932966,448,44.98491969181465,18.254750019866815,1104,0,0,3,0
1652014320,201.2835881531359,448,44.92937235561069,18.23220907184202,1104,0,0,2,0
1652014380,205.14054435537184,448,45.79030007932407,18.58157104668223,1104,0,0,1,0
1652014440,198.329165019417,448,44.26990290611986,17.964598280744294,1104,0,-660,0,0
1652014500,205.5137186064212,448,45.87359790321902,46.28687356000478,444,0,16,0,0
1652014560,231.55837755148525,448,51.68713784631367,52.152787736821004,444,0,72,0,0
1652014620,215.06172233537225,448,48.004848735574164,48.43732485030907,444,0,36,0,0
1652014680,197.54689909720716,448,44.09528997705517,44.492544841713325,444,0,0,0,0
1652014740,199.48416027288434,432,46.17688895205656,44.9288649263253,444,0,0,0,0
1652014800,199.1898584971909,448,44.46202198598011,44.86258074261056,444,0,0,0,0
1652014860,230.52826692035813,448,51.45720243757994,51.9207808379185,444,0,72,0,0
1652014920,249.1658377249268,448,55.61737449217116,56.118431920028556,444,0,112,0,0
1652014980,224.5605401512285,448,50.12512056947065,50.57669823225868,444,0,56,0,0
1652015040,216.19332475092,448,48.25743856047321,48.69219025921622,444,0,40,0,0
1652015100,216.93374023305142,448,48.42270987344898,48.85895050293951,444,0,40,0,0
1652015160,203.59771131270136,448,45.445917703727986,44.26037202450029,460,0,0,4,0
1652015220,196.3544,448,43.82910714285714,36.90872180451128,532,0,0,4,0
1652015280,212.01707985311356,448,47.32524103864142,37.32695067836506,568,0,0,4,0
1652015340,192.5066321238687,448,42.970230384792124,33.89201269786421,568,0,0,3,0
1652015400,198.31374075707012,448,44.26645999041744,34.91439097835742,568,0,0,2,0
1652015460,219.00413331333365,448,48.88485118601197,38.55706572417846,568,0,0,1,0
1652015520,206.68477907965132,448,46.13499533027931,32.29449673119552,640,0,0,4,0
1652015580,201.46373364396274,448,44.96958340267025,28.94593874194867,696,0,0,4,0
1652015640,223.51146725805933,448,49.89095251295967,30.368405877453714,736,0,0,4,0
1652015700,214.46880300429407,448,47.872500670601354,29.139783016887783,736,0,0,3,0
1652015760,213.69414390204608,448,47.699585692420996,29.034530421473654,736,0,0,2,0
